context_3,context_2,context_1,response
Удалите сообщение с его входом сюда,"Господа, кто-нибудь знает ответ на эту задачу?",Нужен Экзорцист))),Забанил его раз в десятый.
"Господа, кто-нибудь знает ответ на эту задачу?",Нужен Экзорцист))),Забанил его раз в десятый.,"Привет, помогите, пожалуйста, разобраться почему пространство линейных отображений изоморфно пространству матриц соответствующего размера, если для разных базисов одно и тоже линейное отображение имеет разные матрицы?"
Нужен Экзорцист))),Забанил его раз в десятый.,"Привет, помогите, пожалуйста, разобраться почему пространство линейных отображений изоморфно пространству матриц соответствующего размера, если для разных базисов одно и тоже линейное отображение имеет разные матрицы?",разные изоморфизмы
Забанил его раз в десятый.,"Привет, помогите, пожалуйста, разобраться почему пространство линейных отображений изоморфно пространству матриц соответствующего размера, если для разных базисов одно и тоже линейное отображение имеет разные матрицы?",разные изоморфизмы,то есть для разных базисов разные изоморфизмы?
"Привет, помогите, пожалуйста, разобраться почему пространство линейных отображений изоморфно пространству матриц соответствующего размера, если для разных базисов одно и тоже линейное отображение имеет разные матрицы?",разные изоморфизмы,то есть для разных базисов разные изоморфизмы?,ну да
разные изоморфизмы,то есть для разных базисов разные изоморфизмы?,ну да,"понял, спасибо"
то есть для разных базисов разные изоморфизмы?,ну да,"понял, спасибо","тем не менее для каждого отображения можно найти не один базис в котором оно будет задаваться одной матрицей
но это в контексте одного отображения"
,,,"я правильно понял, что для какого-то фиксированного отображения f:U->V можно найти базисы B,B' в U и базисы C,C' в V, что две матрицы отображения будут одинаковыми?"
,,"я правильно понял, что для какого-то фиксированного отображения f:U->V можно найти базисы B,B' в U и базисы C,C' в V, что две матрицы отображения будут одинаковыми?","Если А - матрица оператора в базисе е_1, ... е_n, то в базисе с*е_1, ..., с*е_n, где с ненулевая константа, матрица оператора будет выглядеть так же"
,,,"Даже для оператора (то есть базисы одинаковые, степеней свободы меньше)"
,,"Даже для оператора (то есть базисы одинаковые, степеней свободы меньше)","а может же быть так, что два разных линейных отображения в разных базисах имеют одинаковую матрицу?"
,"Даже для оператора (то есть базисы одинаковые, степеней свободы меньше)","а может же быть так, что два разных линейных отображения в разных базисах имеют одинаковую матрицу?","конечно
хотя
ну да руками просто даже построить можно как мне видится это
фиксируешь сначала один базис у тебя получатся две матрицы A и B
далее приводишь B к матрице у которой все элементы 0 кроме первых к на диагонали (они = 1)
а дальше приводишь к A
и вот эти преобразования которые ты делал влияют на базисы в U и V
матрица одна и та же
отображения разные
базисы разные
как ты и хотел
ну ранги ток совпадать должны офк"
"Даже для оператора (то есть базисы одинаковые, степеней свободы меньше)","а может же быть так, что два разных линейных отображения в разных базисах имеют одинаковую матрицу?","конечно
хотя
ну да руками просто даже построить можно как мне видится это
фиксируешь сначала один базис у тебя получатся две матрицы A и B
далее приводишь B к матрице у которой все элементы 0 кроме первых к на диагонали (они = 1)
а дальше приводишь к A
и вот эти преобразования которые ты делал влияют на базисы в U и V
матрица одна и та же
отображения разные
базисы разные
как ты и хотел
ну ранги ток совпадать должны офк","Короче, болеем за наших"
"а может же быть так, что два разных линейных отображения в разных базисах имеют одинаковую матрицу?","конечно
хотя
ну да руками просто даже построить можно как мне видится это
фиксируешь сначала один базис у тебя получатся две матрицы A и B
далее приводишь B к матрице у которой все элементы 0 кроме первых к на диагонали (они = 1)
а дальше приводишь к A
и вот эти преобразования которые ты делал влияют на базисы в U и V
матрица одна и та же
отображения разные
базисы разные
как ты и хотел
ну ранги ток совпадать должны офк","Короче, болеем за наших","Здравствуйте, какой учебник хорош по линалу для подготовки шад/магистратуры?
На гитхабе рекомендован курс ВШЭ,  почему именно он?
Ничего не изменилось за это время?"
"конечно
хотя
ну да руками просто даже построить можно как мне видится это
фиксируешь сначала один базис у тебя получатся две матрицы A и B
далее приводишь B к матрице у которой все элементы 0 кроме первых к на диагонали (они = 1)
а дальше приводишь к A
и вот эти преобразования которые ты делал влияют на базисы в U и V
матрица одна и та же
отображения разные
базисы разные
как ты и хотел
ну ранги ток совпадать должны офк","Короче, болеем за наших","Здравствуйте, какой учебник хорош по линалу для подготовки шад/магистратуры?
На гитхабе рекомендован курс ВШЭ,  почему именно он?
Ничего не изменилось за это время?","Курс ВШЭ это же этот курс по сути, только с доказательствами)"
,,,Очень хорош
,,Очень хорош,А чем?
,,,"А методичка понятно написана? Не было такого, что что-то недосказано или поленились написать?"
,,"А методичка понятно написана? Не было такого, что что-то недосказано или поленились написать?",Какая методичка?
,"А методичка понятно написана? Не было такого, что что-то недосказано или поленились написать?",Какая методичка?,http://wiki.cs.hse.ru/%D0%9B%D0%B8%D0%BD%D0%B5%D0%B9%D0%BD%D0%B0%D1%8F_%D0%B0%D0%BB%D0%B3%D0%B5%D0%B1%D1%80%D0%B0_%D0%B8_%D0%B3%D0%B5%D0%BE%D0%BC%D0%B5%D1%82%D1%80%D0%B8%D1%8F_%D0%BD%D0%B0_%D0%9F%D0%9C%D0%98_2019/2020_(%D0%BF%D0%B8%D0%BB%D0%BE%D1%82%D0%BD%D1%8B%D0%B9_%D0%BF%D0%BE%D1%82%D0%BE%D0%BA)
"А методичка понятно написана? Не было такого, что что-то недосказано или поленились написать?",Какая методичка?,http://wiki.cs.hse.ru/%D0%9B%D0%B8%D0%BD%D0%B5%D0%B9%D0%BD%D0%B0%D1%8F_%D0%B0%D0%BB%D0%B3%D0%B5%D0%B1%D1%80%D0%B0_%D0%B8_%D0%B3%D0%B5%D0%BE%D0%BC%D0%B5%D1%82%D1%80%D0%B8%D1%8F_%D0%BD%D0%B0_%D0%9F%D0%9C%D0%98_2019/2020_(%D0%BF%D0%B8%D0%BB%D0%BE%D1%82%D0%BD%D1%8B%D0%B9_%D0%BF%D0%BE%D1%82%D0%BE%D0%BA),"Это страница курса, а не методичка"
Какая методичка?,http://wiki.cs.hse.ru/%D0%9B%D0%B8%D0%BD%D0%B5%D0%B9%D0%BD%D0%B0%D1%8F_%D0%B0%D0%BB%D0%B3%D0%B5%D0%B1%D1%80%D0%B0_%D0%B8_%D0%B3%D0%B5%D0%BE%D0%BC%D0%B5%D1%82%D1%80%D0%B8%D1%8F_%D0%BD%D0%B0_%D0%9F%D0%9C%D0%98_2019/2020_(%D0%BF%D0%B8%D0%BB%D0%BE%D1%82%D0%BD%D1%8B%D0%B9_%D0%BF%D0%BE%D1%82%D0%BE%D0%BA),"Это страница курса, а не методичка",Вот
http://wiki.cs.hse.ru/%D0%9B%D0%B8%D0%BD%D0%B5%D0%B9%D0%BD%D0%B0%D1%8F_%D0%B0%D0%BB%D0%B3%D0%B5%D0%B1%D1%80%D0%B0_%D0%B8_%D0%B3%D0%B5%D0%BE%D0%BC%D0%B5%D1%82%D1%80%D0%B8%D1%8F_%D0%BD%D0%B0_%D0%9F%D0%9C%D0%98_2019/2020_(%D0%BF%D0%B8%D0%BB%D0%BE%D1%82%D0%BD%D1%8B%D0%B9_%D0%BF%D0%BE%D1%82%D0%BE%D0%BA),"Это страница курса, а не методичка",Вот,Если что есть более новые версии лекций за все последние годы. И там pdf прям на гитхабе лежит. Но они мало отличаются начиная с 2019 года. В основном наличием или отсутствием тензоров.
"Это страница курса, а не методичка",Вот,Если что есть более новые версии лекций за все последние годы. И там pdf прям на гитхабе лежит. Но они мало отличаются начиная с 2019 года. В основном наличием или отсутствием тензоров.,"Извините, я не смог найти по ссылке в био, там нет файлов pdf вроде, могли бы дать ссылку? И где можно посмотреть семинары с решениями?"
Вот,Если что есть более новые версии лекций за все последние годы. И там pdf прям на гитхабе лежит. Но они мало отличаются начиная с 2019 года. В основном наличием или отсутствием тензоров.,"Извините, я не смог найти по ссылке в био, там нет файлов pdf вроде, могли бы дать ссылку? И где можно посмотреть семинары с решениями?",Я нашел только семинары без решений
Если что есть более новые версии лекций за все последние годы. И там pdf прям на гитхабе лежит. Но они мало отличаются начиная с 2019 года. В основном наличием или отсутствием тензоров.,"Извините, я не смог найти по ссылке в био, там нет файлов pdf вроде, могли бы дать ссылку? И где можно посмотреть семинары с решениями?",Я нашел только семинары без решений,https://youtube.com/playlist?list=PLEwK9wdS5g0r9QiDrKGrYa8zg73OP7EBD&si=sVHoMFryMsEYaFGm
,,,"Я имею в виду курс вшэ
В сравнении с конкурентами"
,,"Я имею в виду курс вшэ
В сравнении с конкурентами","А у вас какие конкуренты на примете? Курс хорош, как минимум, тем, что все лекции и семинары записаны, домашки разобраны (я про ФКН)"
,,,На листки где-то есть решения?
,,На листки где-то есть решения?,"Если про курс фкн, то все задачи разбираются на семинарах. Эти записи выложены в свободный доступ на Ютюб."
,,,"Такого ""сервиса"" вы больше не найдете нигде, кажется
Короткий ответ - нет, длинный - гугл + чат почти не оставляют пробелов в самопроверке"
,,"Такого ""сервиса"" вы больше не найдете нигде, кажется
Короткий ответ - нет, длинный - гугл + чат почти не оставляют пробелов в самопроверке","Прошу прощения за такую ссылку
С телефона пишу"
,,,"можете подсказать, где можно найти семинары и разборы домашек по мат анализу, пожалуйста?"
,,"можете подсказать, где можно найти семинары и разборы домашек по мат анализу, пожалуйста?","По матану можно глянуть лекции Шапошникова на teach-in. Там же и семинары, только других преподов. Можно также погуглить листки к лекциям Шапошникова"
,,,Видео с лекциями и семинарами есть на ютубе. Там есть целый плейлист. На семинарах как раз разбираются задачи
,,Видео с лекциями и семинарами есть на ютубе. Там есть целый плейлист. На семинарах как раз разбираются задачи,А затеханых решений задач нет?
,Видео с лекциями и семинарами есть на ютубе. Там есть целый плейлист. На семинарах как раз разбираются задачи,А затеханых решений задач нет?,Ну это жирно)
,,,"Тем более что задачи, в основном, из учебников по типу Кострикина, где почти все они имеют указания или решения"
,,"Тем более что задачи, в основном, из учебников по типу Кострикина, где почти все они имеют указания или решения",А есть решебник к кострикину?
,"Тем более что задачи, в основном, из учебников по типу Кострикина, где почти все они имеют указания или решения",А есть решебник к кострикину?,"Он в конце кострикина, называется ""указания и решения"""
,,,А там семинаров нет
,,А там семинаров нет,Ну как нет? Там просто перемешаны они с лекциями. Посмотри внимательно. В названии видео написано семинар и дата
,,,"А это что?
Я сейчас про задачник"
,,"А это что?
Я сейчас про задачник",Спасибо!
,"А это что?
Я сейчас про задачник",Спасибо!,А кто-нибудь знает: как обучение в питерском ШАДе проходит?
,,,"Там свои преподы или просто как
московская заочка? И домашки по сравнению с мск такие же или все-таки другие (проще/менее полезные/плохо составленные(в обратную сторону было бы странно, если в спб лучше чем в мск))?"
,,"Там свои преподы или просто как
московская заочка? И домашки по сравнению с мск такие же или все-таки другие (проще/менее полезные/плохо составленные(в обратную сторону было бы странно, если в спб лучше чем в мск))?","некотрые лекции/семинары очно, но прошлый год, в основном, заочка, дз те же абсолютно"
,"Там свои преподы или просто как
московская заочка? И домашки по сравнению с мск такие же или все-таки другие (проще/менее полезные/плохо составленные(в обратную сторону было бы странно, если в спб лучше чем в мск))?","некотрые лекции/семинары очно, но прошлый год, в основном, заочка, дз те же абсолютно","Понял, спасибо. А машинное обучение 1/2 в первый год ШАДа - это прям жесткие курсы? Просто планирую время на след уч год - пытаюсь оценить какие трудозатраты на домашки нужны"
"Там свои преподы или просто как
московская заочка? И домашки по сравнению с мск такие же или все-таки другие (проще/менее полезные/плохо составленные(в обратную сторону было бы странно, если в спб лучше чем в мск))?","некотрые лекции/семинары очно, но прошлый год, в основном, заочка, дз те же абсолютно","Понял, спасибо. А машинное обучение 1/2 в первый год ШАДа - это прям жесткие курсы? Просто планирую время на след уч год - пытаюсь оценить какие трудозатраты на домашки нужны",Норм
,,,"И че-то я слышал, что там дз с автоматической проверкой на МО 1-2, это правда? Мне казалось там должно быть персонализированная проверка, тк задачи не тривиальные..."
,,"И че-то я слышал, что там дз с автоматической проверкой на МО 1-2, это правда? Мне казалось там должно быть персонализированная проверка, тк задачи не тривиальные...","Письменные с проверкой, остальные с авто"
,,,Но мб это вброс
,,,Ну мне сложно оценивать я уже после OM пошел в ШАД
,,Ну мне сложно оценивать я уже после OM пошел в ШАД,А ом это что?)
,,,Salam
,,Salam,👋
,,,My friend
,,My friend,Аа
,My friend,Аа,Озон мастерс
My friend,Аа,Озон мастерс,"Аи мастерс
Понял"
,,,А там же тож хороший курс по машинке да?
,,А там же тож хороший курс по машинке да?,"Да, там Дьяконов ведёт"
,,,Думаю там получше)
,,Думаю там получше),Поч
,,,А вообще во всех таких курсах же много домашек на реализацию методов всяких с нуля?
,,А вообще во всех таких курсах же много домашек на реализацию методов всяких с нуля?,"Да
Почти все"
,А вообще во всех таких курсах же много домашек на реализацию методов всяких с нуля?,"Да
Почти все","Тип именно по применению машинки меньше домашек?
Либо их нет почти
Пон"
А вообще во всех таких курсах же много домашек на реализацию методов всяких с нуля?,"Да
Почти все","Тип именно по применению машинки меньше домашек?
Либо их нет почти
Пон","Ну дьяконов базки наливает
В шаде чёт странные челы ведут мо
Ну по прошлым годам если судить"
,,,"Ну там каждый раз новый чел вроде, да"
,,"Ну там каждый раз новый чел вроде, да",Ну это не очень хорошо как ты понимаешь
,,,Дл курсы вроде хорошие
,,Дл курсы вроде хорошие,"Пон
Да
Ну с другой стороны"
,Дл курсы вроде хорошие,"Пон
Да
Ну с другой стороны",Как в этом году будет - увидим
Дл курсы вроде хорошие,"Пон
Да
Ну с другой стороны",Как в этом году будет - увидим,Есть же лекций дофига в онлайн-доступе
"Пон
Да
Ну с другой стороны",Как в этом году будет - увидим,Есть же лекций дофига в онлайн-доступе,"Но у меня есть нереальное желание перезачесть курс
Блесс рнг хотя бы на хор"
Как в этом году будет - увидим,Есть же лекций дофига в онлайн-доступе,"Но у меня есть нереальное желание перезачесть курс
Блесс рнг хотя бы на хор","Поэтому самое главное чтобы домашки были годные
Ну это же по сути вмкшный курс
Который в аим"
Есть же лекций дофига в онлайн-доступе,"Но у меня есть нереальное желание перезачесть курс
Блесс рнг хотя бы на хор","Поэтому самое главное чтобы домашки были годные
Ну это же по сути вмкшный курс
Который в аим","Да они все похожи
+-"
,,,Ну на хор перезачтут я думаю точно
,,Ну на хор перезачтут я думаю точно,Искренне надеюсь
,,,Домашки на фкн и вмк похожи
,,,И в шаде есть похожие дз
,,И в шаде есть похожие дз,А в чем там вообще отличия могут быть
,,,Там обычно с фивта фкна и вмк перезачитывают
,,Там обычно с фивта фкна и вмк перезачитывают,🙏🏻🙏🏻🙏🏻
,Там обычно с фивта фкна и вмк перезачитывают,🙏🏻🙏🏻🙏🏻,"Кроме тем
Типа реализовать логрег и там и там одинаково"
Там обычно с фивта фкна и вмк перезачитывают,🙏🏻🙏🏻🙏🏻,"Кроме тем
Типа реализовать логрег и там и там одинаково","Ну прост разные постановки задач могут быть
Которые не супер дефолтные
А на подумать
Или на почитать где-то че-то и реализовать
Да в общем пофиг реально перезачет и чилл🙏🏻"
🙏🏻🙏🏻🙏🏻,"Кроме тем
Типа реализовать логрег и там и там одинаково","Ну прост разные постановки задач могут быть
Которые не супер дефолтные
А на подумать
Или на почитать где-то че-то и реализовать
Да в общем пофиг реально перезачет и чилл🙏🏻","Так нельзя же перезачесть на балл
Можно тупо взять вместо него другой предмет"
,,,Ну мб ему влом заново машинку проходить
,,Ну мб ему влом заново машинку проходить,Ну мне также
,,,А закрыть на оценку перезачетои анрил
,,А закрыть на оценку перезачетои анрил,"Забавно
Собрались первокуры шада
Вот у меня не было машинки в вузе😢😢😢
А ну ток разве что мфк"
,,,Так ты молодой ещё
,,Так ты молодой ещё,"Не, у меня специалитет просто))"
,,,"Но это не то
Я 3 курс закончил"
,,"Но это не то
Я 3 курс закончил","А понял
Ну мужик"
,"Но это не то
Я 3 курс закончил","А понял
Ну мужик",Ахахха
"Но это не то
Я 3 курс закончил","А понял
Ну мужик",Ахахха,Не много ты потерял
"А понял
Ну мужик",Ахахха,Не много ты потерял,Это да
Ахахха,Не много ты потерял,Это да,"В целом супер пользы не было
Мб я теперь не совсем каменный
Не более"
Не много ты потерял,Это да,"В целом супер пользы не было
Мб я теперь не совсем каменный
Не более",Ну чисто разбираешься в том как работают методы
Это да,"В целом супер пользы не было
Мб я теперь не совсем каменный
Не более",Ну чисто разбираешься в том как работают методы,Ну +- и то уже ниче не помню надо заново читать некоторые вещи
,,,Но это реально такая скука
,,Но это реально такая скука,Хз мне интересно было разбираться как устроено
,,,"А применять машинку учишься видимо либо на кагле каком-нибудь или стажке
Мне каж если рил прочувствовать
То запоминается и не выходит потом"
,,"А применять машинку учишься видимо либо на кагле каком-нибудь или стажке
Мне каж если рил прочувствовать
То запоминается и не выходит потом","Ну первый раз мб интересно
Я уже не помню
2 года назад было"
,"А применять машинку учишься видимо либо на кагле каком-нибудь или стажке
Мне каж если рил прочувствовать
То запоминается и не выходит потом","Ну первый раз мб интересно
Я уже не помню
2 года назад было","Ну с другой стороны если просто методы юзать, то не обязательно ведь знать до мелочей как там все пишется"
"А применять машинку учишься видимо либо на кагле каком-нибудь или стажке
Мне каж если рил прочувствовать
То запоминается и не выходит потом","Ну первый раз мб интересно
Я уже не помню
2 года назад было","Ну с другой стороны если просто методы юзать, то не обязательно ведь знать до мелочей как там все пишется","Ну эт ты дуб просто автоматически
Лучше все же разобраться"
"Ну первый раз мб интересно
Я уже не помню
2 года назад было","Ну с другой стороны если просто методы юзать, то не обязательно ведь знать до мелочей как там все пишется","Ну эт ты дуб просто автоматически
Лучше все же разобраться","Так да
Разобрался один раз
В голове остаётся общая картина
И по необходимости потом заглядываешь
В конкретное место"
"Ну с другой стороны если просто методы юзать, то не обязательно ведь знать до мелочей как там все пишется","Ну эт ты дуб просто автоматически
Лучше все же разобраться","Так да
Разобрался один раз
В голове остаётся общая картина
И по необходимости потом заглядываешь
В конкретное место","В целом так и есть но это делать лень
Так и не отдохнул летом вообще"
,,,Капец Тон
,,Капец Тон,Не стоит так называть меня
,Капец Тон,Не стоит так называть меня,🙏🙏🙏
,,,Как так
,,Как так,😠😠
,,,"По поводу курсов по мл, на мой взгляд самые полезные это либо связанные с ML system design, либо с выводом модели в прод и полным пайплайном разработки. 
Конечно, базу надо знать, но для работы больше пользы будет"
,,"По поводу курсов по мл, на мой взгляд самые полезные это либо связанные с ML system design, либо с выводом модели в прод и полным пайплайном разработки. 
Конечно, базу надо знать, но для работы больше пользы будет","Да, вот так мне это и казалось"
,,,В шаде есть систем дизайн?
,,В шаде есть систем дизайн?,"Вроде не, но есть effective DL, как раз о том, как там со спарком, с докером. Кароче, о процессах курс"
,В шаде есть систем дизайн?,"Вроде не, но есть effective DL, как раз о том, как там со спарком, с докером. Кароче, о процессах курс",Мужик ты в Питере щас или в мск?
,,,Курсы шада больше про рисерч мб
,,Курсы шада больше про рисерч мб,Надо чекнуть
,Курсы шада больше про рисерч мб,Надо чекнуть,Ну про фундаментальное образование короче
Курсы шада больше про рисерч мб,Надо чекнуть,Ну про фундаментальное образование короче,"Не, есть всякие про DWH, про то, как и откуда брать данные, разметку"
Надо чекнуть,Ну про фундаментальное образование короче,"Не, есть всякие про DWH, про то, как и откуда брать данные, разметку","Пон
Но по большей части типа как машинка мне каж
Наверное, предполагается, что практические навыки уже на работе придут"
,,,В СПб
,,В СПб,Хуево
,,,"В прошлом году ещё был Practical DS, как раз о полном пайплайне работы с моделью"
,,"В прошлом году ещё был Practical DS, как раз о полном пайплайне работы с моделью",Ну ладно
,"В прошлом году ещё был Practical DS, как раз о полном пайплайне работы с моделью",Ну ладно,Сыглы
"В прошлом году ещё был Practical DS, как раз о полном пайплайне работы с моделью",Ну ладно,Сыглы,Необходимо взять в маге Академ😈
,,,"А курсов МО 1-2 Шада хватит, чтоб пройти на норм стажку по ML (ну + алгосы задрочить еще)?"
,,"А курсов МО 1-2 Шада хватит, чтоб пройти на норм стажку по ML (ну + алгосы задрочить еще)?",Да
,,,Легче на стажку пройти чем в ШаД
,,,"Подскажите как проверить что ряд сходящийся и равномерно сходящийся при x>=0, где f(x) = \sum from 1 to inf fn(x)?"
,,"Подскажите как проверить что ряд сходящийся и равномерно сходящийся при x>=0, где f(x) = \sum from 1 to inf fn(x)?","Другой способ. Можно видеть, что на ветках вне нуля все функции аналитичны. А для аналитичны функций равномерная сходимость ряда и производных на компакте равносильна."
,"Подскажите как проверить что ряд сходящийся и равномерно сходящийся при x>=0, где f(x) = \sum from 1 to inf fn(x)?","Другой способ. Можно видеть, что на ветках вне нуля все функции аналитичны. А для аналитичны функций равномерная сходимость ряда и производных на компакте равносильна.",Значит можно смотреть вне нуля на арктангенс.
,,,"Всем привет! Если кто-то проходил курсы в shadhelper -поделитесь, пожалуйста, своим впечатлением"
,,,"Тут вроде видно что интеграл берется, сначала надо корень из t взять за новую переменную, потом по частям запихивая арктангенс под дифференциал. А потом можно понять асимптотику по n и думать про сходимость."
,,"Тут вроде видно что интеграл берется, сначала надо корень из t взять за новую переменную, потом по частям запихивая арктангенс под дифференциал. А потом можно понять асимптотику по n и думать про сходимость.","cпасибо большое, сейчас попробую этим методом решить"
,,,привет всем
,,привет всем,"Привет, а что за задачник? Очень похожая задача у Кострикина была, если не путаю"
,,,"застопорился на такой задаче
а) есть ли идеи как ее решить без непостредственного решения систем уравнений
б) правда ли что C может быть только множителем единичной матрицы ?
просто листок в инете"
,,,для подготовки к их putnam
,,для подготовки к их putnam,Сейчас нужно путмана прорешивать чтобы в шад поступить?)🙈
,для подготовки к их putnam,Сейчас нужно путмана прорешивать чтобы в шад поступить?)🙈,чтобы наверняка
,,,инфляция знаний
,,инфляция знаний,Аахах
,,,сами понимаете
,,сами понимаете,"А я смотрел путнама и увидел там много general math
Ты всё прорешиваешь или только предметы, которые смотрят в Шаде?"
,сами понимаете,"А я смотрел путнама и увидел там много general math
Ты всё прорешиваешь или только предметы, которые смотрят в Шаде?","линал и теорвер только
может анализ еще"
,,,но я не люблю анализ решать
,,но я не люблю анализ решать,"чот мне кажется оверкилл путнам/imc решать для шада
матан там прям совсем простенький был в этом году)"
,но я не люблю анализ решать,"чот мне кажется оверкилл путнам/imc решать для шада
матан там прям совсем простенький был в этом году)",А сколько людей за него фулл балл получили?)
но я не люблю анализ решать,"чот мне кажется оверкилл путнам/imc решать для шада
матан там прям совсем простенький был в этом году)",А сколько людей за него фулл балл получили?),за матан?)
"чот мне кажется оверкилл путнам/imc решать для шада
матан там прям совсем простенький был в этом году)",А сколько людей за него фулл балл получили?),за матан?),Ага
,,,"самое забавное что я даже не пробовал вступительные писать
уже 2 год
учеба в шаде идет наперекор с планами на жизнь"
,,,мне показалось линал как раз в стиле шада
,,мне показалось линал как раз в стиле шада,"линал мейби
но теорвер и матан точно нет"
,,,"Тут можно классифицировать все случаи для матриц A и B. Начнем с ЖНФ A. Она не может быть скалярной. Потому либо диагональная с разными значениями, либо клетка. Если клетка, то можно убрать диагональ, потому что условие не меняется при сдвиге на скалярную. Далее можно понять, как выглядят некоммутирующие B в такой A. И потом уже явно понять ответ для C."
,,"Тут можно классифицировать все случаи для матриц A и B. Начнем с ЖНФ A. Она не может быть скалярной. Потому либо диагональная с разными значениями, либо клетка. Если клетка, то можно убрать диагональ, потому что условие не меняется при сдвиге на скалярную. Далее можно понять, как выглядят некоммутирующие B в такой A. И потом уже явно понять ответ для C.",в случае с клетко получается чтобы описать B надо найти все матрицы некоммутирующие с нильпотентной
,,,Хотя там дело совсем не в путнаме..
,,,Помню там был забив по непрерывности синуса или чет такое
,,Помню там был забив по непрерывности синуса или чет такое,Тип нельзя было просто сказать что синус непрерывен?) Я просто не в курсе
,,,"это уже другой вопрос, но я получил))
ага
ну там по делу снимали, это центральный момент был

а вот за линейность в теорвере конечно оч странно"
,,,"Можно, но никто не сказал"
,,"Можно, но никто не сказал",никогда еще молчание не обходилось так дорого
,,,Отсюда -2 балла
,,Отсюда -2 балла,"Перфекционизм ШАДовцев озадачил - лично я к такому был не готов.
В Мастерсе как-то попроще с этим."
,Отсюда -2 балла,"Перфекционизм ШАДовцев озадачил - лично я к такому был не готов.
В Мастерсе как-то попроще с этим.",правильно?
,,,если так то B верхнетреугольная матрица со всеми равными элементами на диаогнали
,,если так то B верхнетреугольная матрица со всеми равными элементами на диаогнали,"Это коммутирующие, надо наоборот."
,,,ах да
,,,нижнетреугольные
,,нижнетреугольные,Это не отрицание. Отрицание либо верхне треугольная с разными элементами на диагонали. Либо нижний левый элемент не ноль.
,нижнетреугольные,Это не отрицание. Отрицание либо верхне треугольная с разными элементами на диагонали. Либо нижний левый элемент не ноль.,Кажется действительно проще руками посчитать
,,,Мне казалось будет какая-то польза или новое приобретенное знания от решения не в лоб
,,Мне казалось будет какая-то польза или новое приобретенное знания от решения не в лоб,"Зачем rust вместо плюсов
Тем более алгосы на плюсах пишутся в шаде"
,Мне казалось будет какая-то польза или новое приобретенное знания от решения не в лоб,"Зачем rust вместо плюсов
Тем более алгосы на плюсах пишутся в шаде",Мне все интересно: откуда ты такую инфу берешь?
Мне казалось будет какая-то польза или новое приобретенное знания от решения не в лоб,"Зачем rust вместо плюсов
Тем более алгосы на плюсах пишутся в шаде",Мне все интересно: откуда ты такую инфу берешь?,"Раст там будет не вместо плюсов, а просто как отдельный курс."
"Зачем rust вместо плюсов
Тем более алгосы на плюсах пишутся в шаде",Мне все интересно: откуда ты такую инфу берешь?,"Раст там будет не вместо плюсов, а просто как отдельный курс.",это что за хуйня
Мне все интересно: откуда ты такую инфу берешь?,"Раст там будет не вместо плюсов, а просто как отдельный курс.",это что за хуйня,проверено✅
"Раст там будет не вместо плюсов, а просто как отдельный курс.",это что за хуйня,проверено✅,Вроде получилось
это что за хуйня,проверено✅,Вроде получилось,🥹
,,,"Всем привет, натолкните на решение плиз. Или может накиньте источников, где можно побольше теории получить, чтобы начать решать такое"
,,"Всем привет, натолкните на решение плиз. Или может накиньте источников, где можно побольше теории получить, чтобы начать решать такое",https://fmin.xyz/docs/theory/Matrix_calculus/
,"Всем привет, натолкните на решение плиз. Или может накиньте источников, где можно побольше теории получить, чтобы начать решать такое",https://fmin.xyz/docs/theory/Matrix_calculus/,https://www.youtube.com/watch?v=_CaZYpzRcPg
,,,В моих записях материалов по матану тоже есть про матричные дифференцирования.
,,,Вот отдельный файл
,,Вот отдельный файл,Где-то была более новая версия. Надо найти
,,,"Жесть контента подвезли) 
Полезный был вопрос!"
,,"Жесть контента подвезли) 
Полезный был вопрос!",Правда! Спасибо!!!
,,,"Всем привет! Подскажите пожалуйста, почему в ответах к сборнику задач Кострикина для ответа берут Х3, а не X1, согласно методу Гаусса? (Первая задача к 1 семинару)"
,,"Всем привет! Подскажите пожалуйста, почему в ответах к сборнику задач Кострикина для ответа берут Х3, а не X1, согласно методу Гаусса? (Первая задача к 1 семинару)","ну как кажется, нет особой разницы, через какие неизвестные выражать другие неизвестные. Просто все привыкли брать неизвестные у торцов ступенек, но это вовсе необязательно"
,"Всем привет! Подскажите пожалуйста, почему в ответах к сборнику задач Кострикина для ответа берут Х3, а не X1, согласно методу Гаусса? (Первая задача к 1 семинару)","ну как кажется, нет особой разницы, через какие неизвестные выражать другие неизвестные. Просто все привыкли брать неизвестные у торцов ступенек, но это вовсе необязательно","Понял, спасибо больше за пояснение!"
,,,"Привет, а можешь сказать, что нужно сделать?"
,,"Привет, а можешь сказать, что нужно сделать?",Найти общее решение и одно частное решение слу используя метод Гаусса
,,,"а в чем проблема
обычно же с конца выражают"
